课程编码,课程名称,目录课程名,开课院系,校区,大纲链接,课时,学分,课程属性,主讲教师,采集时间
180080070100M1004H,抽象代数II,抽象代数II,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315208,60,3.00,学科核心课,胡永泉等,2026-09-02 09:19:27
180080070100M1007H,现代实分析,现代实分析,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315202,60,3.00,学科核心课,郝成春,2026-09-02 09:19:27
180080070100MX013H,数学物理方程,数学物理方程,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/320063,40,1.00,公共选修课,孙义静,2026-09-02 09:19:27
180080070100MX018Y,实用最优化算法,实用最优化算法,数学科学学院,玉泉路,https://jwba.ucas.ac.cn/sc/course/courseplan/315207,40,1.00,公共选修课,牛凌峰,2026-09-02 09:19:27
180080070100PB001H,学术道德与学术写作规范-分论,学术道德与学术写作规范-分论,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315081,10,0.50,公共必修课,孙睿,2026-09-02 09:19:27
180080070101M2004H,代数数论,代数数论,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315223,60,3.00,专业核心课,万昕等,2026-09-02 09:19:27
180080070101M2005H,代数拓扑,代数拓扑,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315209,60,3.00,专业核心课,李振坤,2026-09-02 09:19:27
180080070101M2007H,现代复分析,现代复分析,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315210,60,3.00,专业核心课,刘家琪,2026-09-02 09:19:27
180080070101M2012H,微分拓扑,微分拓扑,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315203,40,2.00,专业核心课,郑恺,2026-09-02 09:19:27
180080070101M3003H,抽象代数,抽象代数,数学科学学院,雁栖湖,https://jwba.ucas.ac.cn/sc/course/courseplan/315204,60,3.00,专业课,唐国平,2026-09-02 09:19:27
